playa,tipo_vehic,fecha_ingreso,motivo,lugar_remision,comuna,anio,mes,motivo_norm
Libres del Sur,MOTO,2024-07-01,OTROS,ALCORTA 6700,*,2024,7,OTROS
Libres del Sur,AUTO,2024-07-01,ESTACIONAMIENTO,AV CORDOBA 316,*,2024,7,ESTACIONAMIENTO
Libres del Sur,AUTO,2024-07-01,ESTACIONAMIENTO,CORDOBA 350,*,2024,7,ESTACIONAMIENTO
Libres del Sur,AUTO,2024-07-02,UBER,AV DEL LIBERTADOR 400,*,2024,7,UBER
Libres del Sur,AUTO,2024-07-02,ESTACIONAMIENTO,AV CALLAO 1609,*,2024,7,ESTACIONAMIENTO
Libres del Sur,AUTO,2024-07-02,ESTACIONAMIENTO,AV SANTA FE 1622,*,2024,7,ESTACIONAMIENTO
Libres del Sur,AUTO,2024-07-02,ESTACIONAMIENTO,CALLAO 930,*,2024,7,ESTACIONAMIENTO
Libres del Sur,MOTO,2024-07-02,DOCUMENTACION,AV FIGUEROA ALCORTA 3600,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-02,DOCUMENTACION,AV LA PLATA 731,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-03,ALCOHOLEMIA,R.OBLIGADO 2200,*,2024,7,ALCOHOLEMIA
Libres del Sur,MOTO,2024-07-03,DOCUMENTACION,R. OBLIGADO 2100,*,2024,7,DOCUMENTACION
Libres del Sur,AUTO,2024-07-03,ALCOHOLEMIA,AV- JUJUY 1051,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-03,ESTACIONAMIENTO,AV LIBERTADOR 1138,*,2024,7,ESTACIONAMIENTO
Libres del Sur,AUTO,2024-07-03,ESTACIONAMIENTO,AV CALLAO 617,*,2024,7,ESTACIONAMIENTO
Libres del Sur,AUTO,2024-07-03,ESTACIONAMIENTO,AV CALLAO,*,2024,7,ESTACIONAMIENTO
Libres del Sur,AUTO,2024-07-03,ALCOHOLEMIA,AV. GRAL. LAS HERAS 3500,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-04,ALCOHOLEMIA,AV CORRIENTES 860,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-04,ALCOHOLEMIA,AV RIVADAVIA 5662,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-04,DOCUMENTACION,AV CORRIENTES 860,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-04,OTROS,AV LAS HERAS 3550,*,2024,7,OTROS
Libres del Sur,MOTO,2024-07-04,DOCUMENTACION,AV SARMIENTO,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-04,DOCUMENTACION,AV SARMIENTO,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-04,PLACA,AV SARMIENTO,*,2024,7,PLACA
Libres del Sur,MOTO,2024-07-04,DOCUMENTACION,AV COSTANERA 3500,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-04,DOCUMENTACION,AV SARMIENTO,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-04,PLACA,AV. DEL LIBERTADOR 100,*,2024,7,PLACA
Libres del Sur,MOTO,2024-07-05,ALCOHOLEMIA,AV. CORDOBA 4073,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-05,DOCUMENTACION,ALEM 550,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-05,ALCOHOLEMIA,AV. CORDOBA 4073,*,2024,7,ALCOHOLEMIA
Libres del Sur,MOTO,2024-07-05,DOCUMENTACION,AV. PUEYRREDON 2160,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-05,DOCUMENTACION,AV. PUEYRREDON 2160,*,2024,7,DOCUMENTACION
Libres del Sur,AUTO,2024-07-05,ESTACIONAMIENTO,REPUBLICA SIRIA,*,2024,7,ESTACIONAMIENTO
Libres del Sur,AUTO,2024-07-05,ESTACIONAMIENTO,AV CALLAO 2432,*,2024,7,ESTACIONAMIENTO
Libres del Sur,MOTO,2024-07-05,DOCUMENTACION,AV ALCORTA 3800,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-05,DOCUMENTACION,AV LAS HERAS 2166,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-05,DOCUMENTACION,AV LAS HERAS 2166,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-05,DOCUMENTACION,AV LAS HERAS 2166,*,2024,7,DOCUMENTACION
Libres del Sur,AUTO,2024-07-05,ESTACIONAMIENTO,AV CALLAO 180,*,2024,7,ESTACIONAMIENTO
Libres del Sur,AUTO,2024-07-05,DOCUMENTACION,AV PUEYRREDON Y LAS HERAS ,*,2024,7,DOCUMENTACION
Libres del Sur,AUTO,2024-07-07,DOCUMENTACION,AV.SARMIENTO 3100,*,2024,7,DOCUMENTACION
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,AV. DORREGO 3600,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,AV.JUAN B JUSTO 684,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,PARAGUAY 4902,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,AV.JUAN B JUSTO634,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCO / DOC,AV. 9 DE JULIO 600,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,AV.MADERO 1150,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,JUAN B JUSTO 1800,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,PARAGUAY 4902,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,DORREGO 3600,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,AV.JUAN B JUSTO 634,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,SANTA FE 4844,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,AV.BULLRICH 55,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,SARMIENTO 3100,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,PARAGUAY 4902,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,CERRITO 600,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCO / PLACA,CERRITO 600,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,CERRITO 600,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,CERRITO 600,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,CERRITO 600,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,AV.JUAN B JUSTO ,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,CERRITO 600,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCO / DOC,AV DORREGO 3600,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,AV JUAN B JUSTO 634,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCO / DOC,AV EDUARDO MADERO 1150,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,AV SANTA FE 4844,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCO / DOC,CERRITO 600,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,PARAGUAY 4902,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,CERRITO 600,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-07,ALCOHOLEMIA,CERRITO 600,*,2024,7,ALCOHOLEMIA
Libres del Sur,MOTO,2024-07-07,ALCOHOLEMIA,CERRITO 600,*,2024,7,ALCOHOLEMIA
Libres del Sur,MOTO,2024-07-07,DOCUMENTACION,AV CABILDO 4800,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-07,DOCUMENTACION,AV CABILDO 4800,*,2024,7,DOCUMENTACION
Libres del Sur,AUTO,2024-07-07,ESTACIONAMIENTO,AV LIBERTRADOR 1800,*,2024,7,ESTACIONAMIENTO
Libres del Sur,AUTO,2024-07-08,ALCO / PLACA,C.PELLEGRINI 290,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-08,ALCOHOLEMIA,AV. LIBERTADOR 8600,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-08,ESTACIONAMIENTO,AV SANTA FE 2680,*,2024,7,ESTACIONAMIENTO
Libres del Sur,AUTO,2024-07-08,ESTACIONAMIENTO,SANTA FE 2682,*,2024,7,ESTACIONAMIENTO
Libres del Sur,MOTO,2024-07-08,DOC/PLACA,BAIGORRIA 5307,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-08,DOCUMENTACION,AV SARMIENTO,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-08,DOCUMENTACION,AV. GRAL. LAS HERAS 2169,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-08,DOCUMENTACION,AV. GRAL. LAS HERAS 2169,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-08,DOCUMENTACION,AV. SARMIENTO 2949,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-09,ALCO / DOC,AV CORRIENTES ,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-10,ALCOHOLEMIA,AV.CABILDO 763,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-10,ALCOHOLEMIA,CABILDO 743,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-10,ALCOHOLEMIA,AV.FEDERICO LACROZE 3407,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-10,ALCOHOLEMIA,DORREGO 3600,*,2024,7,ALCOHOLEMIA
Libres del Sur,AUTO,2024-07-10,ALCOHOLEMIA,AV.CRAMER 2348,*,2024,7,ALCOHOLEMIA
Libres del Sur,MOTO,2024-07-10,DOCUMENTACION,AV-. PUEYRREDON 1389,*,2024,7,DOCUMENTACION
Libres del Sur,MOTO,2024-07-10,DOCUMENTACION,AV-. PUEYRREDON 1389,*,2024,7,DOCUMENTACION
Libres del Sur,AUTO,2024-07-10,ESTACIONAMIENTO,REPUBLICA ARABE SIRIA 3100,*,2024,7,ESTACIONAMIENTO
