anio,mes,fotos,manuales,total
2016,1,178087,56762,234849
2016,2,302763,58278,361041
2016,3,266970,46772,313742
2016,4,477848,36254,514102
2016,5,182768,67310,250078
2016,6,167392,67724,235116
2016,7,342445,31508,373953
2016,8,250582,74160,324742
2016,9,191812,82045,273857
2016,10,200562,75778,276340
2016,11,321508,78949,400457
2016,12,180567,93640,274207
2017,1,292279,46289,338568
2017,2,251703,93997,345700
2017,3,253683,73085,326768
2017,4,236047,75395,311442
2017,5,265386,89188,354574
2017,6,312639,82412,395051
2017,7,199818,113101,312919
2017,8,149047,150977,300024
2017,9,219134,91377,310511
2017,10,229327,93422,322749
2017,11,200195,158120,358315
2017,12,199638,128596,328234
2018,1,200348,146822,347170
2018,2,193649,69465,263114
2018,3,199037,173498,372535
2018,4,170931,162849,333780
2018,5,217829,177771,395600
2018,6,122369,71599,193968
2018,7,254878,97769,352647
2018,8,204606,166068,370674
2018,9,269667,78408,348075
2018,10,174822,92834,267656
2018,11,122132,78135,200267
2018,12,243833,78117,321950
2019,1,224945,79449,304394
2019,2,285167,66666,351833
2019,3,91382,38154,129536
2019,4,364908,74414,439322
2019,5,311424,96569,407993
2019,6,57783,52952,110735
2019,7,400383,63244,463627
2019,8,59650,69825,129475
2019,9,118464,50528,168992
2019,10,215251,80706,295957
2019,11,264059,87419,351478
2019,12,125762,74345,200107
2020,1,318034,75832,393866
2020,2,328659,63425,392084
2020,3,209531,45289,254820
2020,4,167104,3158,170262
2020,5,138286,4908,143194
2020,6,312113,10835,322948
2020,7,241496,9986,251482
2020,8,242127,67571,309698
2020,9,159904,27555,187459
2020,10,138989,43811,182800
2020,11,0,49556,49556
2020,12,175616,33726,209342
2021,1,89624,48976,138600
2021,2,53535,33217,86752
2021,3,65551,49403,114954
2021,4,90131,26356,116487
2021,5,21723,17753,39476
2021,6,449568,22578,472146
2021,7,441776,22654,464430
2021,8,275443,37884,313327
2021,9,787677,45782,833459
2021,10,102942,48780,151722
2021,11,202780,44161,246941
2021,12,136705,60137,196842
2022,1,88306,43248,131554
2022,2,106173,47435,153608
2022,3,176171,68325,244496
2022,4,93411,73762,167173
2022,5,144548,69691,214239
2022,6,172421,58333,230754
2022,7,147167,66281,213448
2022,8,176296,71896,248192
2022,9,119348,70797,190145
2022,10,98483,56605,155088
2022,11,189473,64491,253964
2022,12,123245,71070,194315
2023,1,177407,77066,254473
2023,2,236322,57270,293592
2023,3,88808,61971,150779
2023,4,252375,62654,315029
2023,5,202729,63853,266582
2023,6,164428,63874,228302
2023,7,115764,60342,176106
2023,8,141460,68784,210244
2023,9,120667,69385,190052
2023,10,94505,62498,157003
2023,11,224380,57486,281866
2023,12,151861,54623,206484
2024,1,232492,34285,266777
2024,2,252248,28525,280773
2024,3,200095,29799,229894
2024,4,475354,37877,513231
2024,5,536716,48246,584962
2024,6,444635,44831,489466
2024,7,462450,40651,503101
2024,8,413663,39365,453028
2024,9,404762,51272,456034
2024,10,431497,48017,479514
2024,11,383961,36727,420688
2024,12,391575,40006,431581
2025,1,391606,41463,433069
2025,2,490437,44670,535107
2025,3,397224,53090,450314
2025,4,532098,39748,571846
2025,5,438153,35127,473280
2025,6,407791,50461,458252
2025,7,444750,55812,500562
2025,8,629038,44570,673608
2025,9,469519,64944,534463
2025,10,497541,62371,559912
2025,11,460349,44853,505202
2025,12,349899,56759,406658
