anio,mes,resueltas
2025,1,352019
2025,2,296380
2025,3,303016
2025,4,300978
2025,5,329867
2025,6,321040
2025,7,390324
2025,8,362213
2025,9,433516
2025,10,320715
2025,11,215304
2025,12,304819
2024,1,243218
2024,2,210427
2024,3,193545
2024,4,234279
2024,5,283897
2024,6,258035
2024,7,339811
2024,8,402761
2024,9,300830
2024,10,343966
2024,11,325903
2024,12,330913
2023,1,302608
2023,2,237794
2023,3,294853
2023,4,244096
2023,5,257592
2023,6,248461
2023,7,260797
2023,8,290081
2023,9,262388
2023,10,253386
2023,11,238391
2023,12,206830
2022,1,219108
2022,2,237041
2022,3,304247
2022,4,316390
2022,5,424333
2022,6,428953
2022,7,342691
2022,8,374316
2022,9,303258
2022,10,273751
2022,11,263067
2022,12,252158
2021,1,169104
2021,2,160732
2021,3,204064
2021,4,176180
2021,5,173556
2021,6,220078
2021,7,262955
2021,8,862911
2021,9,392555
2021,10,303928
2021,11,574035
2021,12,255619
2020,1,289796
2020,2,222427
2020,3,155795
2020,4,143259
2020,5,196679
2020,6,352266
2020,7,134045
2020,8,131434
2020,9,143516
2020,10,150726
2020,11,158016
2020,12,155178
2019,1,275418
2019,2,245320
2019,3,245669
2019,4,241469
2019,5,280974
2019,6,260942
2019,7,299553
2019,8,276029
2019,9,274900
2019,10,256252
2019,11,227339
2019,12,245983
2018,1,273384
2018,2,195518
2018,3,243487
2018,4,224584
2018,5,245035
2018,6,211010
2018,7,246198
2018,8,251226
2018,9,230906
2018,10,271044
2018,11,230899
2018,12,226315
