anio,categoria,total
2016,alcohol,161
2016,alcohol_otros,72636
2016,carriles,111696
2016,documentacion,6453
2016,estacionamiento,1251892
2016,otras,400842
2016,peajes,93455
2016,velocidad,1827092
2017,alcohol,205
2017,alcohol_otros,133517
2017,carriles,61530
2017,documentacion,12167
2017,estacionamiento,1129710
2017,otras,601982
2017,peajes,60575
2017,velocidad,1869252
2018,alcohol,179
2018,alcohol_otros,158002
2018,carriles,138196
2018,documentacion,14521
2018,estacionamiento,1345686
2018,otras,1098458
2018,peajes,134804
2018,velocidad,965588
2019,alcohol,214
2019,alcohol_otros,115527
2019,carriles,68997
2019,documentacion,14993
2019,estacionamiento,1268560
2019,otras,1518879
2019,peajes,35630
2019,velocidad,375084
2020,alcohol,108
2020,alcohol_otros,52023
2020,carriles,108809
2020,documentacion,10401
2020,estacionamiento,470907
2020,otras,507790
2020,peajes,163215
2020,velocidad,1438690
2021,alcohol,285
2021,alcohol_otros,38566
2021,carriles,168810
2021,documentacion,13906
2021,estacionamiento,367337
2021,otras,145547
2021,peajes,251123
2021,velocidad,2213711
2022,alcohol,6740
2022,alcohol_otros,70673
2022,carriles,177238
2022,documentacion,18749
2022,estacionamiento,581587
2022,otras,233383
2022,peajes,413201
2022,velocidad,938448
2023,alcohol,3694
2023,alcohol_otros,92867
2023,carriles,221310
2023,documentacion,22321
2023,estacionamiento,629470
2023,otras,335017
2023,peajes,413566
2023,velocidad,1081212
2024,alcohol,3903
2024,alcohol_otros,115604
2024,carriles,342862
2024,documentacion,15331
2024,estacionamiento,384530
2024,otras,311275
2024,peajes,1907972
2024,velocidad,2042214
2025,alcohol,3468
2025,alcohol_otros,109768
2025,carriles,608119
2025,documentacion,12839
2025,estacionamiento,603908
2025,otras,324480
2025,peajes,1750457
2025,velocidad,2686035
