anio,codigo,descripcion,total,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,fuente,categoria
2016,1111,Expediente Infraccion de Transito,7180,412,424,397,198,1013,256,217,419,189,317,1554,1784,infracciones_2016,otras
2016,1149,Otras infracciones de transito,1426,76,98,63,47,96,87,35,76,67,166,210,405,infracciones_2016,otras
2016,1198,Conducir ebrio,4,0,0,2,1,0,0,0,0,0,0,1,0,infracciones_2016,alcohol
2016,6100,Conducir sin portar la licencia,1600,189,153,138,100,161,149,110,132,107,95,96,170,infracciones_2016,documentacion
2016,6105,Falta de licencia o documentación o inhabilitado (transporte público),158,16,34,29,6,10,12,7,4,5,10,12,13,infracciones_2016,otras
2016,6110,Permitir conducir sin Licencia o Inhabilitado (titular/transporte),28,5,4,2,1,3,0,2,3,3,1,4,0,infracciones_2016,otras
2016,6120,Conducir con Licencia Vencida o Caduca,1654,177,147,116,96,132,158,101,162,124,152,140,149,infracciones_2016,documentacion
2016,6121,"Permitir conducir con licencia o documentación vencida (titular, mandataria o responsable)",17,2,2,2,2,0,2,0,3,1,0,2,1,infracciones_2016,otras
2016,6122,Licencia o documentación habilitante vencida (transporte público),60,8,3,4,1,4,4,5,8,5,1,11,6,infracciones_2016,otras
2016,6130,Conducir sin anteojos o lentes contacto segun Licencia,32,4,0,2,2,5,4,3,1,1,4,3,3,infracciones_2016,otras
2016,6140,Conducir c/licencia conductor No Correspondiente,237,13,21,16,10,9,19,17,17,29,21,22,43,infracciones_2016,otras
2016,6150,Permitir Conducir c/licencia conductor No Correspondiente(titular/transporte),14,0,3,1,0,0,2,0,0,1,0,3,4,infracciones_2016,otras
2016,6160,Permitir o Facilitar manejo persona sin edad s/tipo vehiculo,17,1,2,1,1,0,4,2,1,3,0,1,1,infracciones_2016,otras
2016,6161,Exhibición de documentación (no exhibir ced verde vigente a nombre del tit  o ced azul de conductor),3199,260,289,288,227,265,244,231,311,271,252,268,293,infracciones_2016,documentacion
2016,6162,"Exceso de Velocidad + de 140 Km/h (taxis, pasajeros, escolares o remises)",5,0,0,1,0,0,0,0,0,0,0,2,2,infracciones_2016,otras
2016,6163,"Exceso de Velocidad mas de 20Km/h en Calle o Avenida (taxis, pasajeros, escolares, remises)",4087,3,72,764,1781,274,111,313,105,88,75,220,281,infracciones_2016,otras
2016,6164,"Exceso de Velocidad en màs de 40Km/h en vías rápidas (taxis, pasajeros, escolares o remises)",95,0,0,0,0,7,3,18,29,5,6,24,3,infracciones_2016,otras
2016,6165,Trans de sustancias peligrosas (no exhibir corresp insc en Reg de Transportistas segun norm vigente),1,0,0,0,0,0,0,1,0,0,0,0,0,infracciones_2016,otras
2016,6166,Vehiculo Transporte de sustancias alimenticias sin habilitaciòn,6,2,1,0,1,0,0,0,0,0,0,0,2,infracciones_2016,otras
2016,6167,"Obstruccion de via (en carriles exclusivos y/o, metrobus y premetro)",1057,81,68,176,128,130,139,86,70,38,53,38,50,infracciones_2016,otras
2016,6168,"Titular o responsable vehiculo transporte de escolares que dañe, altere o retire disp de alcoholemia",6,1,0,1,1,1,1,0,0,0,1,0,0,infracciones_2016,alcohol
2016,6169,"Conductor que dañe, altere o retire dispositivo",7,2,1,0,0,0,2,0,0,0,1,1,0,infracciones_2016,otras
2016,6170,No exhibir documentacion segun reglamentacion,1,0,0,0,1,0,0,0,0,0,0,0,0,infracciones_2016,otras
2016,6180,No exhibir documentacion sobre transporte de sustancias peligrosas,26,0,1,1,0,5,2,1,4,0,0,4,8,infracciones_2016,otras
2016,6181,Conductor vehiculo con taximetro que se negara sin justificacion a transportar pasajero,5,1,1,0,0,1,0,0,1,0,0,1,0,infracciones_2016,otras
2016,6182,Cond vehiculo con taximetro que se negara a interrumpir func del mecanismo y/o disp de publicidad,2,0,1,0,0,0,0,0,0,1,0,0,0,infracciones_2016,otras
2016,6183,Cond vehiculo con taximetro que no porte ficha identif del titular de la licencia o la del conductor,13,1,2,2,0,3,0,1,1,1,0,0,2,infracciones_2016,otras
2016,6184,Titular vehiculo de carga exceda peso maximo por eje,1,0,0,0,0,1,0,0,0,0,0,0,0,infracciones_2016,otras
2016,6185,Carga y descarga (propietario y/o responsable del comercio),49,1,0,3,2,2,1,4,5,10,8,11,2,infracciones_2016,otras
2016,6186,"Violacion de semaforo (taxis, escolares , pasajeros, remises. Prestando servicio)",3112,160,145,172,132,204,189,176,347,338,328,420,501,infracciones_2016,otras
2016,6187,"Negativa de someterse a control (taxis, escolares , pasajeros, remises. Prestando servicio)",10,0,0,1,0,3,0,2,1,0,1,1,1,infracciones_2016,alcohol
2016,6190,Falta poliza seguro contra terceros,1506,119,98,121,103,128,114,127,141,143,140,119,153,infracciones_2016,otras
2016,6191,Falta poliza seguro contra terceros (no cuente),1179,97,115,104,83,81,97,82,117,88,92,76,147,infracciones_2016,otras
2016,6200,Placas dominio. Falta/antirreglamentarias/mal estado,10027,864,587,834,667,803,735,564,756,755,989,987,1486,infracciones_2016,otras
2016,6210,Placas dominio(Motos). Falta/antirreglamentarias/mal estado,1,0,0,0,0,0,1,0,0,0,0,0,0,infracciones_2016,otras
2016,6220,Circular con Placas de OTRO dominio.,2,0,0,1,0,0,0,1,0,0,0,0,0,infracciones_2016,otras
2016,6230,Circular con equipo Antiradar o Antifoto,4,0,0,0,0,0,0,0,0,0,0,1,3,infracciones_2016,otras
2016,6240,Revision tecnica No porte certificado,27,5,2,3,0,1,4,2,2,1,2,3,2,infracciones_2016,otras
2016,6241,Revision tecnica (no realizarla o certificado vencido),42,9,3,4,2,6,6,1,4,1,4,2,0,infracciones_2016,otras
2016,6242,Incumplimiento grabado de autopartes (Titular/Tomador),1,0,0,1,0,0,0,0,0,0,0,0,0,infracciones_2016,otras
