anio,codigo,descripcion,categoria,total
2016,1111,Expediente Infraccion de Transito,otras,7180
2016,1149,Otras infracciones de transito,otras,1426
2016,1198,Conducir ebrio,alcohol,4
2016,6100,Conducir sin portar la licencia,documentacion,1600
2016,6105,Falta de licencia o documentación o inhabilitado (transporte público),otras,158
2016,6110,Permitir conducir sin Licencia o Inhabilitado (titular/transporte),otras,28
2016,6120,Conducir con Licencia Vencida o Caduca,documentacion,1654
2016,6121,"Permitir conducir con licencia o documentación vencida (titular, mandataria o responsable)",otras,17
2016,6122,Licencia o documentación habilitante vencida (transporte público),otras,60
2016,6130,Conducir sin anteojos o lentes contacto segun Licencia,otras,32
2016,6140,Conducir c/licencia conductor No Correspondiente,otras,237
2016,6150,Permitir Conducir c/licencia conductor No Correspondiente(titular/transporte),otras,14
2016,6160,Permitir o Facilitar manejo persona sin edad s/tipo vehiculo,otras,17
2016,6161,Exhibición de documentación (no exhibir ced verde vigente a nombre del tit  o ced azul de conductor),documentacion,3199
2016,6162,"Exceso de Velocidad + de 140 Km/h (taxis, pasajeros, escolares o remises)",otras,5
2016,6163,"Exceso de Velocidad mas de 20Km/h en Calle o Avenida (taxis, pasajeros, escolares, remises)",otras,4087
2016,6164,"Exceso de Velocidad en màs de 40Km/h en vías rápidas (taxis, pasajeros, escolares o remises)",otras,95
2016,6165,Trans de sustancias peligrosas (no exhibir corresp insc en Reg de Transportistas segun norm vigente),otras,1
2016,6166,Vehiculo Transporte de sustancias alimenticias sin habilitaciòn,otras,6
2016,6167,"Obstruccion de via (en carriles exclusivos y/o, metrobus y premetro)",otras,1057
2016,6168,"Titular o responsable vehiculo transporte de escolares que dañe, altere o retire disp de alcoholemia",alcohol,6
2016,6169,"Conductor que dañe, altere o retire dispositivo",otras,7
2016,6170,No exhibir documentacion segun reglamentacion,otras,1
2016,6180,No exhibir documentacion sobre transporte de sustancias peligrosas,otras,26
2016,6181,Conductor vehiculo con taximetro que se negara sin justificacion a transportar pasajero,otras,5
2016,6182,Cond vehiculo con taximetro que se negara a interrumpir func del mecanismo y/o disp de publicidad,otras,2
2016,6183,Cond vehiculo con taximetro que no porte ficha identif del titular de la licencia o la del conductor,otras,13
2016,6184,Titular vehiculo de carga exceda peso maximo por eje,otras,1
2016,6185,Carga y descarga (propietario y/o responsable del comercio),otras,49
2016,6186,"Violacion de semaforo (taxis, escolares , pasajeros, remises. Prestando servicio)",otras,3112
2016,6187,"Negativa de someterse a control (taxis, escolares , pasajeros, remises. Prestando servicio)",alcohol,10
2016,6190,Falta poliza seguro contra terceros,otras,1506
2016,6191,Falta poliza seguro contra terceros (no cuente),otras,1179
2016,6200,Placas dominio. Falta/antirreglamentarias/mal estado,otras,10027
2016,6210,Placas dominio(Motos). Falta/antirreglamentarias/mal estado,otras,1
2016,6220,Circular con Placas de OTRO dominio.,otras,2
2016,6230,Circular con equipo Antiradar o Antifoto,otras,4
2016,6240,Revision tecnica No porte certificado,otras,27
2016,6241,Revision tecnica (no realizarla o certificado vencido),otras,42
2016,6242,Incumplimiento grabado de autopartes (Titular/Tomador),otras,1
2016,6250,Frenos/Luces/elementos seguridad Falta o Deficientes,otras,112
2016,6270,No uso cinturon de seguridad,otras,14396
2016,6271,Menores de edad en asiento trasero SIN dispositivo retencion infantil o SIN acompañante mayor,otras,176
2016,6272,Sistemas o dispositivos de retencion infantil,otras,1
2016,6280,"Limitador de velocidad, Falta / Funciona incorrectamente",otras,7
2016,6290,"Dispositivo control gases, Falta /Mal funcionamiento",otras,247
2016,6310,Verter liquido combustible o aguas servidas,otras,21
2016,6330,Dispositivo de control de ruido y silenciador Falta /Mal funcionamiento,otras,850
2016,6350,Uso indebido e bocina,otras,709
2016,6370,Colocacion Bocinas o sirenas antirreglamentarias,otras,21
2016,6390,Uso Paragolpe antirreglamentario,otras,32
2016,6410,Falta Paragolpe,otras,60
2016,6430,Uso de Vidrios tonalizados antirreglamentarios,otras,372
2016,6450,"Falta/sin vision, Espejos Retrovisores",otras,1012
2016,6470,Falta Tapa Combustible,otras,35
2016,6490,Conducir utilizando Celular / Auriculares / Reproductor de video,otras,79121
2016,6492,Conductor redactando/enviando mensaje de texto,otras,9811
2016,6501,Permitir Viajar personas impedidas en asiento delantero,velocidad,9352
2016,6519,No respetar limites de velocidad minimos,velocidad,5
2016,6525,Exceso Velocidad hasta 10Km/h de la Máxima permitida para el tipo de arteria,velocidad,179175
2016,6526,Exceso Velocidad más de 10Km/h y hasta 20Km/h de la Máxima permitida para el tipo de arteria,velocidad,138215
2016,6527,Exceso Velocidad hasta 20Km/h de la Máxima permitida en vías rápidas,velocidad,1123034
2016,6528,Exceso Velocidad más de 20Km/h y hasta 40Km/h de la Máxima permitida en vías rápidas,velocidad,253002
2016,6529,Exceso Velocidad más 20Km de la Máxima permitida para el tipo de arteria y hasta 140 km/h,velocidad,96765
2016,6530,Exceso Velocidad más de 40Km/h de la Máxima permitida en vías rápidas y hasta 140 km/h,velocidad,15263
2016,6531,Exceso Velocidad más de 140Km/h,velocidad,5547
2016,6540,Circulación en sentido contrario,velocidad,2135
2016,6560,Invasión parcial de vías,velocidad,653
2016,6580,No respetar carriles/Maniobras Peligrosas,velocidad,3946
2016,6600,Girar a izquierda/derecha en lugar prohibido,otras,22192
2016,6620,No respetar paso o cartel PARE en bocacalle,otras,97
2016,6640,Marcha atras en forma indebida,otras,244
2016,6660,Forzar barrera/evadir pago peaje autopista,peajes,93455
2016,6670,Infrigir normas Transporte Sustancias Peligrosas,otras,4
2016,6680,Obstruccion de Bocacalle,otras,1120
2016,6700,No ceder Paso a Polic/Bombe/Ambula/Serv.Pub.o Urgen.,otras,73
2016,6720,Interrumpir Filas Escolares,otras,9
2016,6740,No respetar Senda Peatonal/Paso Peaton,otras,22446
2016,6760,Circular por Zona/Carril o c/peso/poten./tamaño Prohibido,carriles,104848
2016,6761,"Carriles o vías prohíbidas (tránsito rápido,diferenciado,metrobus)",carriles,6848
2016,6762,"Carriles o vías prohíbidas (ciclovía,contramano en contracarril)",otras,312
2016,6780,Prohibición circular según DIA/HORA/CARACTERISTICA vehíc.,otras,210821
2016,6800,Nro.ocupantes mayor a capacidad vehiculo,otras,363
2016,6820,No respetar lugar asc/desc-acercar a acera/puertas abiertas etc(pasajeros),otras,517
2016,6830,Ocupar lugar no destinado para viajar,otras,18
2016,6840,No cumplir norma uso radio/reproductor sonido/fumar/trato al pasajero,otras,78
2016,6850,No cumplir norma horario/ropa/requisito vehiculo Tte. pasajero,otras,16
2016,6860,No Cumplir Normas s/requisitos Vehículos  Escolares c/habilitación,otras,3
2016,6862,Conducir sin poseer la licencia,otras,1408
2016,6870,No Cumplir Normas s/requisitos Vehículos de Transporte c/habilitación,otras,77
2016,6871,Servicio de Taxis Sin Habilitación,otras,31
2016,6872,Servicio de radio taxis que incumpla la normativa legal vigente,otras,9
2016,6874,Radio taxi con IRA vencido y/o que a su baja no hubiere eliminado las señales que lo identificaban,otras,3
2016,6875,"Servicio de radio taxi, titular o mandataria que realice promociones o cobre tarifa no autorizada",otras,3
2016,6876,No aplicación de la tarifa de taxi vigente,otras,3
2016,6877,No Cumplir Normas/requisitos Vehículos de Transporte sin habilitación,otras,514
2016,6880,No cumplir norma  Peso/dimen/permisos/carga descubierta/seguro(carga),otras,19
2016,6881,"Transporte de carga (transp.Explosivos, inflamables, animales, etc.)",otras,4
2016,6890,Carga y descarga fuera de hora/lugar prohibido,otras,816
2016,6900,Estac. lugar prohib./forma indebida/antirreglamentaria,estacionamiento,1122415
2016,6906,Detención en Zona Exclusiva de Motos,estacionamiento,865
2016,6910,Estac. lugar reservado(rampa/discap/paradas/garage/otros),estacionamiento,52238
2016,6920,Estac. lugar sin ticket/hora vencida,estacionamiento,30332
2016,6930,Estac. sobre vereda/parte de vereda(Particular/Moto),estacionamiento,1
2016,6935,Estacionamiento en areas peatonales,estacionamiento,36816
2016,6950,Enseñar conduccion en lugar no autorizado,estacionamiento,26
2016,6960,Enseñar conduccion (por Academia) en lugar no autorizado,estacionamiento,20
2016,6970,Peaton: No respetar lugar cruce calles/aven./semaforos,estacionamiento,116
2016,6980,No respetar indicaciones Autoridad dirige Transito,estacionamiento,9063
2016,7001,Infraccion regimen motovehiculos,alcohol_otros,11955
2016,7010,Circular sin utilizar Antiparras (Moto/Ciclomotor/motoneta),alcohol_otros,45
2016,7021,Infraccion regimen ciclorodados,alcohol_otros,136
2016,7030,Incumplir Normas Tte.Privado pasajeros/Alquiler auto s/chofer,alcohol_otros,13
2016,7045,Obstruccion de estacionamiento y/o circulacion,alcohol_otros,164
2016,7050,Violar Luz Roja,alcohol_otros,58191
2016,7062,Negarse a someterse al control de alcoholemia/estupefac/otra sustancia similar (conductor/acompaña),alcohol,141
2016,7063,Contribución a conducción peligrosa.,alcohol_otros,14
2016,7064,Utilizar en infraccion cartel/credencial/documento sobre franquicia transito/estacionamiento,alcohol_otros,233
2016,7065,Uso indebido de luces,alcohol_otros,1865
2016,7066,Utilizacion de luces prohibidas,alcohol_otros,16
2016,7551,Alteraciones en el reloj taxímetro (titular y/o mandataria),alcohol_otros,2
2016,7552,Alteraciones con dispositivos mecánicos electrónicos a fin de incrementar la tarifa,alcohol_otros,2
2016,8880,Incumplimiento de identificacion de conductor,otras,2070
2016,8885,"Paradas, otras señales y simbolos",otras,26
2016,8886,Conductores principiantes,otras,8
2016,8900,No respetar límite velocidad Ley Nacional 24449,otras,1
2016,8910,Violación de Barreras Ferroviarias - Particular,otras,115
2016,8911,Violación de Barreras Ferroviarias - Transporte,otras,6
2016,8919,Asignación de viajes de radio taxi sin autorización,otras,8
2017,1111,Expediente Infraccion de Transito,otras,13170
2017,1131,Cruzar vias con barreras totalmente bajas,otras,57
2017,1149,Otras infracciones de transito,otras,2284
2017,6100,Conducir sin portar la licencia,documentacion,3267
2017,6105,Falta de licencia o documentación o inhabilitado (transporte público),otras,202
2017,6110,Permitir conducir sin Licencia o Inhabilitado (titular/transporte),otras,54
2017,6120,Conducir con Licencia Vencida o Caduca,documentacion,3114
2017,6121,"Permitir conducir con licencia o documentación vencida (titular, mandataria o responsable)",otras,114
2017,6122,Licencia o documentación habilitante vencida (transporte público),otras,106
2017,6130,Conducir sin anteojos o lentes contacto segun Licencia,otras,66
2017,6140,Conducir c/licencia conductor No Correspondiente,otras,880
2017,6150,Permitir Conducir c/licencia conductor No Correspondiente(titular/transporte),otras,32
2017,6160,Permitir o Facilitar manejo persona sin edad s/tipo vehiculo,otras,25
2017,6161,Exhibición de documentación (no exhibir ced verde vigente a nombre del tit  o ced azul de conductor),documentacion,5786
2017,6162,"Exceso de Velocidad + de 140 Km/h (taxis, pasajeros, escolares o remises)",otras,11
2017,6163,"Exceso de Velocidad mas de 20Km/h en Calle o Avenida (taxis, pasajeros, escolares, remises)",otras,2260
2017,6164,"Exceso de Velocidad en màs de 40Km/h en vías rápidas (taxis, pasajeros, escolares o remises)",otras,104
2017,6165,Trans de sustancias peligrosas (no exhibir corresp insc en Reg de Transportistas segun norm vigente),otras,1
2017,6167,"Obstruccion de via (en carriles exclusivos y/o, metrobus y premetro)",otras,29825
2017,6168,"Titular o responsable vehiculo transporte de escolares que dañe, altere o retire disp de alcoholemia",alcohol,9
2017,6169,"Conductor que dañe, altere o retire dispositivo",otras,7
2017,6170,No exhibir documentacion segun reglamentacion,otras,4
2017,6180,No exhibir documentacion sobre transporte de sustancias peligrosas,otras,48
2017,6181,Conductor vehiculo con taximetro que se negara sin justificacion a transportar pasajero,otras,11
2017,6182,Cond vehiculo con taximetro que se negara a interrumpir func del mecanismo y/o disp de publicidad,otras,6
2017,6183,Cond vehiculo con taximetro que no porte ficha identif del titular de la licencia o la del conductor,otras,12
2017,6184,Titular vehiculo de carga exceda peso maximo por eje,otras,6
2017,6185,Carga y descarga (propietario y/o responsable del comercio),otras,95
2017,6186,"Violacion de semaforo (taxis, escolares , pasajeros, remises. Prestando servicio)",otras,7095
2017,6187,"Negativa de someterse a control (taxis, escolares , pasajeros, remises. Prestando servicio)",alcohol,14
2017,6190,Falta poliza seguro contra terceros,otras,3284
2017,6191,Falta poliza seguro contra terceros (no cuente),otras,2788
2017,6200,Placas dominio. Falta/antirreglamentarias/mal estado,otras,17709
2017,6220,Circular con Placas de OTRO dominio.,otras,12
2017,6230,Circular con equipo Antiradar o Antifoto,otras,38
2017,6240,Revision tecnica No porte certificado,otras,420
2017,6241,Revision tecnica (no realizarla o certificado vencido),otras,2505
2017,6242,Incumplimiento grabado de autopartes (Titular/Tomador),otras,25863
2017,6243,Incumplimiento grabado de autopartes (Gestor/Mandat/Concesionaria/Intermediario),otras,1
2017,6250,Frenos/Luces/elementos seguridad Falta o Deficientes,otras,287
2017,6270,No uso cinturon de seguridad,otras,17735
2017,6271,Menores de edad en asiento trasero SIN dispositivo retencion infantil o SIN acompañante mayor,otras,1222
2017,6272,Sistemas o dispositivos de retencion infantil,otras,7
2017,6280,"Limitador de velocidad, Falta / Funciona incorrectamente",otras,11
2017,6290,"Dispositivo control gases, Falta /Mal funcionamiento",otras,208
2017,6310,Verter liquido combustible o aguas servidas,otras,85
2017,6330,Dispositivo de control de ruido y silenciador Falta /Mal funcionamiento,otras,717
2017,6350,Uso indebido e bocina,otras,922
2017,6370,Colocacion Bocinas o sirenas antirreglamentarias,otras,27
2017,6390,Uso Paragolpe antirreglamentario,otras,34
2017,6410,Falta Paragolpe,otras,87
2017,6430,Uso de Vidrios tonalizados antirreglamentarios,otras,405
2017,6450,"Falta/sin vision, Espejos Retrovisores",otras,1383
2017,6470,Falta Tapa Combustible,otras,72
2017,6490,Conducir utilizando Celular / Auriculares / Reproductor de video,otras,160947
2017,6492,Conductor redactando/enviando mensaje de texto,otras,17369
2017,6501,Permitir Viajar personas impedidas en asiento delantero,velocidad,18476
2017,6525,Exceso Velocidad hasta 10Km/h de la Máxima permitida para el tipo de arteria,velocidad,268522
2017,6526,Exceso Velocidad más de 10Km/h y hasta 20Km/h de la Máxima permitida para el tipo de arteria,velocidad,165505
2017,6527,Exceso Velocidad hasta 20Km/h de la Máxima permitida en vías rápidas,velocidad,1180307
2017,6528,Exceso Velocidad más de 20Km/h y hasta 40Km/h de la Máxima permitida en vías rápidas,velocidad,168707
2017,6529,Exceso Velocidad más 20Km de la Máxima permitida para el tipo de arteria y hasta 140 km/h,velocidad,42454
2017,6530,Exceso Velocidad más de 40Km/h de la Máxima permitida en vías rápidas y hasta 140 km/h,velocidad,8146
2017,6531,Exceso Velocidad más de 140Km/h,velocidad,3027
2017,6540,Circulación en sentido contrario,velocidad,4235
2017,6550,Circular en sentido contrario calle/ave. 1 mano (carga/pasajeros),velocidad,1
2017,6560,Invasión parcial de vías,velocidad,850
2017,6580,No respetar carriles/Maniobras Peligrosas,velocidad,9022
2017,6600,Girar a izquierda/derecha en lugar prohibido,otras,38729
2017,6620,No respetar paso o cartel PARE en bocacalle,otras,120
2017,6640,Marcha atras en forma indebida,otras,386
2017,6660,Forzar barrera/evadir pago peaje autopista,peajes,60575
2017,6670,Infrigir normas Transporte Sustancias Peligrosas,otras,6
2017,6680,Obstruir vía Transversal/Ciclovía/Vereda/Estac. reservado,otras,1209
2017,6700,No ceder Paso a Polic/Bombe/Ambula/Serv.Pub.o Urgen.,otras,101
2017,6720,Interrumpir Filas Escolares,otras,14
2017,6740,No respetar Senda Peatonal/Paso Peaton,otras,22889
2017,6760,Circular por Zona/Carril o c/peso/poten./tamaño Prohibido,carriles,49626
2017,6761,"Carriles o vías prohíbidas (tránsito rápido,diferenciado,metrobus)",carriles,11904
2017,6762,"Carriles o vías prohíbidas (ciclovía,contramano en contracarril)",otras,768
2017,6780,Prohib.circular según DIA/HORA/CARAC.VEHIC (vehículos),otras,215139
2017,6781,Prohib.circular según DIA/HORA/CARAC.VEHIC y/u OCUPANTES (moto),otras,10
2017,6782,Prohib.circular según DIA/HORA/CARAC.VEHIC y/u OCUPANTES s/norma 5.3.2.i Ley2148 (MOTO),otras,2
2017,6800,Nro.ocupantes mayor a capacidad vehiculo,otras,1008
2017,6820,No respetar lugar asc/desc-acercar a acera/puertas abiertas etc(pasajeros),otras,700
2017,6830,Ocupar lugar no destinado para viajar,otras,17
2017,6840,No cumplir norma uso radio/reproductor sonido/fumar/trato al pasajero,otras,33
2017,6850,No cumplir norma horario/ropa/requisito vehiculo Tte. pasajero,otras,11
2017,6860,No Cumplir Normas s/requisitos Vehículos  Escolares c/habilitación,otras,12
2017,6861,No Cumplir Normas  s/requisitos Vehículos Escolares sin habilitación,otras,1
2017,6862,Conducir sin poseer la licencia,otras,4094
2017,6870,No Cumplir Normas s/requisitos Vehículos de Transporte c/habilitación,otras,61
2017,6871,Servicio de Taxis Sin Habilitación,otras,53
2017,6872,Servicio de radio taxis que incumpla la normativa legal vigente,otras,29
2017,6874,Radio taxi con IRA vencido y/o que a su baja no hubiere eliminado las señales que lo identificaban,otras,1
2017,6875,"Servicio de radio taxi, titular o mandataria que realice promociones o cobre tarifa no autorizada",otras,1
2017,6876,No aplicación de la tarifa de taxi vigente,otras,1
2017,6877,No Cumplir Normas/requisitos Vehículos de Transporte sin habilitación,otras,550
2017,6880,No cumplir norma  Peso/dimen/permisos/carga descubierta/seguro(carga),otras,31
2017,6881,"Transporte de carga (transp.Explosivos, inflamables, animales, etc.)",otras,5
2017,6890,Carga y descarga fuera de hora/lugar prohibido,otras,940
2017,6900,Estac. lugar prohib./forma indebida/antirreglamentaria,estacionamiento,915451
2017,6901,Estac. lugar prohib./forma indebida/antirreglamentaria(carga/pasajeros),estacionamiento,1
2017,6906,Detención en Zona Exclusiva de Motos,estacionamiento,577
2017,6910,Estac. LUGAR RESERVADO (paradas/garage/ciclovias/carril exclusivo/Micro-Macrocentro/otros),estacionamiento,76270
2017,6920,Estac. lugar sin ticket/hora vencida,estacionamiento,37791
2017,6935,Estacionamiento en areas peatonales,estacionamiento,79701
