anio,infracciones_total,actas_procesadas,actas_resueltas,acarreos,infracciones_alcohol,infracciones_velocidad,infracciones_estacionamiento,infracciones_peaje
2016,3764227,3832484,,0,161,1827092,1251892,93455
2017,3868938,4004855,,0,205,1869252,1129710,60575
2018,3855434,3767436,2849606.0,0,179,965588,1345686,134804
2019,3397884,3353449,3129848.0,0,214,375084,1268560,35630
2020,2751943,2867511,2233137.0,0,108,1438690,470907,163215
2021,3199285,3175136,3755717.0,0,285,2213711,367337,251123
2022,2440019,2396976,3739313.0,0,6740,938448,581587,413201
2023,2799457,2730512,3097277.0,0,3694,1081212,629470,413566
2024,5123691,5109049,3467585.0,6554,3903,2042214,384530,1907972
2025,6099074,6102273,3930191.0,9355,3468,2686035,603908,1750457
